result,table,_start,_stop,_time,_value,_field,_measurement,building,floor,name
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 21:45:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:15:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:45:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:15:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:45:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 00:45:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:15:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:30:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:45:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:00:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:15:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
_result,70,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:30:00+00:00,100.0,battery,temp_sensor,9,5,temp_sensor_1
