result,table,_start,_stop,_time,_value,_field,_measurement,building,floor,measuring,name
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 17:30:00+00:00,44.696000000000005,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 17:45:00+00:00,44.864,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 18:00:00+00:00,47.41,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 18:15:00+00:00,45.10133333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 18:30:00+00:00,45.13533333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 18:45:00+00:00,36.785333333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 19:00:00+00:00,35.069333333333326,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 19:15:00+00:00,37.51866666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 19:30:00+00:00,43.86466666666666,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 19:45:00+00:00,43.296,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 20:00:00+00:00,41.12199999999999,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 20:15:00+00:00,43.599333333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 20:30:00+00:00,37.88533333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 20:45:00+00:00,52.36866666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 21:00:00+00:00,50.712,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 21:15:00+00:00,49.468666666666664,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 21:30:00+00:00,48.72999999999999,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 21:45:00+00:00,48.532000000000004,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:00:00+00:00,51.85928571428571,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:15:00+00:00,50.23533333333332,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:30:00+00:00,49.466,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 22:45:00+00:00,48.02,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:00:00+00:00,48.66466666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:15:00+00:00,47.429999999999986,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:30:00+00:00,47.91933333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-22 23:45:00+00:00,49.540666666666674,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 00:00:00+00:00,49.1,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 00:15:00+00:00,48.77000000000001,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 00:30:00+00:00,49.61466666666666,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 00:45:00+00:00,48.81000000000001,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:00:00+00:00,48.51733333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:15:00+00:00,51.73533333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:30:00+00:00,51.90333333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 01:45:00+00:00,50.91599999999999,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:00:00+00:00,54.44799999999999,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:15:00+00:00,54.377333333333326,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:30:00+00:00,56.423333333333325,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 02:45:00+00:00,61.268,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 03:00:00+00:00,60.48066666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 03:15:00+00:00,62.178,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 03:30:00+00:00,62.14266666666666,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 03:45:00+00:00,62.20466666666666,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 04:00:00+00:00,62.190000000000005,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 04:15:00+00:00,62.28333333333334,current_a,power_meter,9,1,hvac,meter 2
