result,table,_start,_stop,_time,_measurement,building,device_id,floor,measuring,current_a,current_b,current_c,current_t,hz_t,kw_a,kw_b,kw_c,kw_demand,kw_t,kwh_t,pf_a,pf_b,pf_c,pf_t,voltage_a,voltage_b,voltage_c,voltage_t
_result,0,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_38,1,ahu1,4.885,4.405,5.03,14.315000000000001,49.980000000000004,0.615,0.61,0.675,1.9,1.9049999999999998,406.15,0.565,0.63,0.6,0.595,223.895,223.105,225.4,224.135
_result,1,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_39,2,ahu2,4.725,4.645,4.92,14.29,49.98,0.7,0.775,-0.79,0.67,0.685,286.685,0.66,0.76,-0.72,0.705,223.985,223.39999999999998,225.525,224.3
_result,2,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_40,3,ahu3,5.635,5.275,5.93,16.84,49.980000000000004,0.67,0.67,0.77,2.12,2.105,466.205,0.53,0.57,0.58,0.56,224.0,223.29000000000002,225.415,224.235
_result,3,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_41,4,ahu4,4.38,4.07,4.61,13.065000000000001,49.989999999999995,0.57,0.62,0.68,1.86,1.8650000000000002,405.565,0.58,0.68,0.65,0.64,224.185,223.59,225.745,224.515
_result,4,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_42,5,ahu5,3.43,3.105,3.58,10.12,50.015,0.38,0.39,0.455,1.22,1.225,284.04999999999995,0.5,0.56,0.56,0.54,224.08499999999998,223.51,225.55,224.38
_result,5,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_43,6,ahu6,4.51,4.195,4.765,13.47,50.015,0.55,0.625,-0.69,0.48,0.485,260.96000000000004,0.55,0.67,-0.64,0.56,224.055,223.365,225.575,224.305
_result,6,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_44,7,ahu7,4.105,3.59,4.015,11.705,50.025,-0.39,0.4,0.46,0.46,0.48,153.69,-0.42,0.505,0.51,0.6,224.03,223.275,225.62,224.305
_result,7,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,2,WL0301_E_45,1,watertreatment,4.575,2.85,2.09,9.524999999999999,50.019999999999996,0.91,0.625,0.39,2.675,1.92,1487.1799999999998,0.91,0.99,0.84,0.99,224.07999999999998,223.255,225.595,224.33999999999997
_result,8,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:00:00+00:00,power_meter,3,WL0301_E_01,1,amdb,462.29,437.28,472.33,1371.9,50.01,88.59,86.31,94.9,272.0,269.8,67442.1,0.9,0.93,0.93,0.92,224.21,223.33,225.86,224.47
_result,8,2024-05-14 21:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,2024-05-15 07:06:48.176665+00:00,power_meter,3,WL0301_E_01,1,amdb,465.6,437.435,476.56,1379.595,49.980000000000004,89.36500000000001,86.36500000000001,95.71000000000001,271.755,271.44,67467.79000000001,0.9,0.93,0.93,0.92,224.14999999999998,223.28500000000003,225.7,224.37
